Country_or_dependency,Population_2024,Yearly_Change,Net_Change,Density_PKm2,Land_Area_Km2,Migrants_net,Fertility_Rate,Median_Age,Urban_Pop_Percentage,World_Share,Total_Area_KM,Total_Area_M,Land_Area_KM,Land_Area_M,Percentage_World_Mass,kids,adults,retired
Japan,123753041,-0.5,-617906,339,364555,153357,1.2,49,93,1.52,377930,145920,364555,140755,0.2,12.29,58.49,29.22
Jordan,11552876,0.99,113663,130,88780,-156369,2.6,25,84,0.14,89342,34495,88780,34278,0.1,31.42,64.53,4.05
Kazakhstan,20592571,1.29,262467,8,2699700,-7368,3.0,30,55,0.25,2724900,1052089,2699700,1042360,1.8,25.26,65.29,9.44
Kenya,56432944,1.98,1093941,99,569140,-19781,3.2,20,31,0.69,580367,224081,569140,219746,0.4,36.45,60.26,3.28
Kiribati,134518,1.5,1988,166,810,-471,3.1,23,57,0.0,811,313,810,313,0.0,27.06,67.77,5.17
Kuwait,4934507,1.98,95725,277,17820,61624,1.5,35,92,0.06,17818,6880,17820,6880,0.0,23.32,73.28,3.4
Kyrgyzstan,7186009,1.59,112493,37,191800,3645,2.8,25,35,0.09,199951,77201,191800,74054,0.1,29.54,63.86,6.6
Laos,7769819,1.37,104826,34,230800,-10284,2.4,25,38,0.1,236800,91429,230800,89112,0.2,30.63,64.73,4.65
Latvia,1871871,-0.56,-10525,30,62200,-2225,1.3,43,67,0.02,64559,24926,62200,24016,0.0,14.92,63.37,21.71
Lebanon,5805962,0.56,32469,568,10230,-17267,2.2,29,88,0.07,10452,4036,10230,3950,0.0,19.21,71.69,9.1
Lesotho,2337423,1.12,25951,77,30360,-5107,2.7,22,32,0.03,30355,11720,30360,11722,0.0,32.4,62.21,5.39
Liberia,5612817,2.18,119786,58,96320,-7779,3.9,19,54,0.07,111369,43000,96320,37189,0.1,42.69,54.5,2.82
Libya,7381023,1.03,75364,4,1759540,3448,2.3,27,77,0.09,1759540,679362,1759540,679362,1.2,32.81,62.8,4.39
Liechtenstein,39870,0.69,272,249,160,206,1.5,44,15,0.0,160,62,160,62,0.0,15.27,64.38,20.35
Lithuania,2859110,0.18,5011,46,62674,2617,1.2,42,68,0.04,65300,25212,62674,24199,0.0,15.3,63.11,21.59
Luxembourg,673036,1.19,7938,260,2590,5677,1.4,39,87,0.01,2586,998,2590,1000,0.0,16.73,67.38,15.88
Madagascar,31964956,2.47,769024,55,581795,-1795,3.9,19,40,0.39,587041,226658,581795,224632,0.4,37.47,58.72,3.81
Malawi,21655286,2.61,550804,230,94280,-1507,3.6,18,19,0.27,118484,45747,94280,36402,0.1,38.54,57.64,3.82
Malaysia,35557673,1.23,431375,108,328550,174770,1.5,31,77,0.44,330803,127724,328550,126854,0.2,22.46,69.42,8.12
Maldives,527799,0.34,1805,1759,300,-2421,1.6,32,39,0.01,300,116,300,116,0.0,22.25,71.97,5.78
Mali,24478595,2.98,709468,20,1220190,-46880,5.5,16,44,0.3,1240192,478841,1220190,471118,0.8,47.05,49.88,3.07
Malta,539607,1.25,6651,1686,320,6323,1.1,41,77,0.01,316,122,320,124,0.0,14.53,62.83,22.65
Marshall Islands,37548,-3.29,-1279,209,180,-1765,2.9,21,0,0.0,181,70,180,69,0.0,30.65,63.83,5.52
Mauritania,5169395,2.93,146954,5,1030700,-2185,4.6,17,60,0.06,1030700,397955,1030700,397955,0.7,36.11,59.58,4.31
Mauritius,1271169,-0.19,-2419,626,2030,-2787,1.2,37,41,0.02,2040,788,2030,784,0.0,15.3,71.35,13.36
Mexico,130861007,0.86,1121248,67,1943950,-104581,1.9,29,87,1.6,1964375,758449,1943950,750563,1.3,23.76,68.22,8.02
Moldova,3034961,-1.05,-32109,92,32850,-27088,1.7,38,57,0.04,33846,13068,32850,12683,0.0,18.01,66.37,15.62
Monaco,38631,-0.83,-325,25927,1,110,2.1,54,0,0.0,2,1,1,1,0.0,9.4,54.42,36.18
Mongolia,3475540,1.27,43608,2,1553560,83,2.6,27,67,0.04,1564110,603906,1553560,599833,1.0,26.16,68.24,5.6
Montenegro,638479,0.78,4927,47,13450,-1686,1.8,40,68,0.01,13812,5333,13450,5193,0.0,17.93,64.65,17.42
Montserrat,4389,-0.7,-31,44,100,-7,1.4,42,11,0.0,102,39,100,39,0.0,15.92,76.6,7.48
Morocco,38081173,0.98,368668,85,446300,-46802,2.2,30,67,0.47,446550,172414,446300,172317,0.3,26.01,65.92,8.06
Mozambique,34631766,2.96,996606,44,786380,-38940,4.7,16,41,0.42,801590,309496,786380,303623,0.5,45.0,52.1,2.9
Myanmar,54500091,0.68,366293,83,653290,-37979,2.1,30,34,0.67,676578,261228,653290,252237,0.4,24.89,68.3,6.8
Namibia,3030131,2.26,67036,4,823290,4211,3.2,21,54,0.04,825615,318772,823290,317874,0.6,34.38,61.68,3.94
Nauru,11947,0.61,72,597,20,-121,3.3,20,95,0.0,21,8,20,8,0.0,30.13,65.65,4.22
Nepal,29651054,-0.15,-43560,207,143350,-401282,2.0,25,24,0.36,147181,56827,143350,55348,0.1,26.32,67.52,6.16
Netherlands,18228742,0.75,136218,541,33720,121628,1.4,41,89,0.22,41850,16158,33720,13019,0.0,16.06,63.08,20.86
New Caledonia,292639,0.96,2769,16,18280,455,2.0,34,75,0.0,18575,7172,18280,7058,0.0,20.96,68.45,10.59
New Zealand,5213944,0.79,41108,20,263310,18766,1.7,38,83,0.06,270467,104428,263310,101665,0.2,19.15,64.36,16.49
Nicaragua,6916140,1.36,92527,57,120340,-8189,2.2,26,58,0.08,130373,50337,120340,46464,0.1,24.16,69.36,6.48
